Queue_Util,N_a,N_d,N_o,P_idle,E[N]
0.25,125100,125100,742973,0.749626164073257,0.33445091544376443
0.35,175179,175179,1040625,0.6494116516516516,0.5388771171171172
0.45,224440,224440,1337547,0.5538870783606109,0.8102421821438798
0.55,275262,275262,1637273,0.449425966225547,1.2208568760371667
0.65,324364,324364,1930954,0.3499332454320507,1.862258241263127
0.75,374283,374283,2227069,0.25252383289426594,2.9491291019721437
0.85,424771,424771,2526458,0.14963676419714875,5.736985930500329
0.95,474750,474750,2823030,0.04902214995944074,18.903381827327376
Queue_Util,N_a,N_d,N_o,P_idle,E[N]
0.25,250036,250036,1485129,0.7491712841106732,0.33534527977030953
0.35,350922,350922,2079109,0.6492006912576493,0.5396407788143863
0.45,449625,449625,2674907,0.5498942580059792,0.8184830351111272
0.55,549834,549834,3270154,0.4512756891571467,1.2133049391557706
0.65,649631,649631,3866511,0.3505379914863814,1.8578690193820735
0.75,750626,750626,4462288,0.249736458068148,2.9926643013628884
0.85,850143,850143,5052464,0.15163888352297017,5.5660188771260914
0.95,950674,950674,5644999,0.049116572031279365,19.471401677839093
