Queue_Util,Buff_size,N_a,N_d,N_o,P_idle,E[N],P_loss
0.5,10,250354,250354,1487278,0.08096805035776768,2.367818928270303,1.5977120763067287e-05
0.5,25,249197,249197,1486753,0.08231158773515171,2.359177348221258,0.0
0.5,50,249091,249091,1487949,0.08199407372161277,2.358419542605291,0.0
0.6,10,299544,299544,1783595,0.0791878201049005,2.3881744454318383,3.338296267117114e-05
0.6,25,299393,299393,1783762,0.07977297419723035,2.386075048128618,0.0
0.6,50,300242,300242,1784248,0.07909382552201263,2.392411256731127,0.0
0.7,10,350126,350126,2079744,0.07638055452978829,2.4268785004308224,5.7119030347340824e-05
0.7,25,350033,350033,2078706,0.0760978223952786,2.4284304754977377,0.0
0.7,50,349623,349623,2081567,0.07690071950602599,2.422715675258111,0.0
0.8,10,399710,399710,2378195,0.07390016377967323,2.4512106870967267,5.503687470605306e-05
0.8,25,400513,400513,2378245,0.07445322075732315,2.4552529281045476,0.0
0.8,50,400606,400606,2376660,0.0740257335925206,2.4569038061817845,0.0
0.9,10,449034,449034,2674155,0.0723877262163188,2.471716860092253,5.789872177437313e-05
0.9,25,449614,449614,2674915,0.07319111074557509,2.4727294138318414,0.0
0.9,50,449566,449566,2675163,0.07270622388243259,2.473006317745872,0.0
1.0,10,500051,500051,2972562,0.0710225724476058,2.4913455127260593,5.399157731393902e-05
1.0,25,500748,500748,2971754,0.0714978426881902,2.4938904768025885,0.0
1.0,50,499549,499549,2969782,0.07117290090653118,2.491007420746708,0.0
1.1,10,550452,550452,3270915,0.06901402207027697,2.5065533650370004,5.08646998982706e-05
1.1,25,551391,551391,3270816,0.0694649286294307,2.5088629259487543,0.0
1.1,50,549859,549859,3269423,0.06972239444085393,2.5050199989417092,0.0
1.2,10,598926,598926,3569577,0.06978193774780597,2.511893706173028,5.175663695390487e-05
1.2,25,599833,599833,3563899,0.06908865823638662,2.5183581240658053,0.0
1.2,50,599838,599838,3563939,0.06960248197289572,2.5170498148256746,0.0
1.3,10,649214,649214,3860386,0.0682004338426261,2.5344325671059837,5.544859453215248e-05
1.3,25,649663,649663,3863174,0.06806631024126793,2.5342511106152608,0.0
1.3,50,649601,649601,3865445,0.06882622828678199,2.5326162964419363,0.0
1.4,10,700561,700561,4159980,0.06693181217217391,2.5532641983855693,4.7102886978763736e-05
1.4,25,699556,699556,4160196,0.06687281080026038,2.5514266635514287,0.0
1.4,50,700978,700978,4160870,0.0666826889568768,2.5547037037927165,0.0
