num_nodes,arrival_rate,efficiency,throughput
20,7,0.9998207641184104,0.209184
20,10,0.9995410177930439,0.30052725
20,20,0.9979564134682084,0.5999205
40,7,0.9982650285197116,0.41858775
40,10,0.9959500943897336,0.5990595
40,20,0.8197454677589199,0.99487425
60,7,0.9931562791434356,0.63018075
60,10,0.9601743686136496,0.9003255
60,20,0.6576379594064831,0.995703
80,7,0.9677407656840905,0.8406135
80,10,0.5108422637049076,0.99575775
80,20,0.5100677844727303,0.995763
100,7,0.4246239101058576,0.99501675
100,10,0.4003641969704145,0.99547725
100,20,0.4009228407619417,0.9954855
